Simulation_ID,S0,K,T,r,sigma_v,Up-and-In_Call,Up-and-Out_Call,European_Lookback_Call,Asian_Call,Double_Barrier_Call,Delta,Gamma,Theta,Vega,Rho
787,117.323887,98.341815,0.959314,0.046896,0.132833,24.326514,0.000000,24.349326,21.625540,0.000000,0.999800,0.000007,-4.413203,0.032176,90.163206
788,105.912659,102.191066,1.383434,0.040872,0.276687,9.133849,0.733995,9.883693,6.773560,0.733995,0.999667,0.000007,-3.951619,0.045288,133.533810
789,128.121006,127.260480,1.280302,0.019116,0.125067,4.007255,0.000000,4.068495,2.529140,0.000000,0.999610,0.000007,-2.380348,0.055610,158.905168
790,58.938795,125.179916,0.272205,0.049219,0.182046,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
791,55.417080,86.009665,1.956783,0.016813,0.121496,0.000000,0.000000,0.000000,0.000000,0.000000,0.001935,0.000470,-0.014707,0.358261,0.190766
792,60.635563,81.842651,1.656817,0.029895,0.184123,0.000000,0.049490,0.061989,0.002521,0.000000,0.014892,0.002977,-0.111601,2.198587,1.378947
793,144.371867,86.430839,0.216944,0.037324,0.126588,59.124281,0.000000,59.508346,58.552014,0.000000,1.000000,0.000000,-3.199961,0.000001,18.599470
794,130.471592,93.176812,1.562204,0.040751,0.214768,45.652210,0.000000,45.712757,41.351282,0.000000,0.999858,0.000004,-3.566408,0.036713,136.545246
795,101.952781,99.550511,0.384736,0.034828,0.161807,0.007734,3.744712,3.871848,3.072302,3.744712,0.999621,0.000023,-3.427756,0.024055,37.774134
796,94.855842,84.451123,0.814517,0.033084,0.183035,0.089922,13.005070,13.112373,11.741480,13.005070,0.999730,0.000011,-2.724661,0.028294,66.932409
797,120.987336,76.940980,1.276480,0.028781,0.226824,48.463083,0.000000,48.503183,46.177660,0.000000,0.999913,0.000003,-2.137368,0.021657,94.654261
798,98.212241,83.092521,1.284586,0.026789,0.141412,0.118984,18.549588,18.703724,16.895124,18.549588,0.999758,0.000008,-2.154674,0.034765,103.089134
799,96.416368,123.661185,1.690454,0.023499,0.213933,0.082823,0.000000,0.112205,0.002149,0.000000,0.025457,0.002875,-0.261009,5.349728,3.785008
800,50.688736,93.439589,0.477783,0.022945,0.229336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000017,0.000007,-0.000583,0.002053,0.000387
801,95.081217,102.210801,0.723914,0.024226,0.199026,0.992607,0.270717,1.970129,0.491657,0.186096,0.159036,0.017254,-1.676849,14.104835,10.119032
802,131.777290,109.034486,1.195523,0.041566,0.185043,29.439614,0.000000,29.473300,26.074606,0.000000,0.999783,0.000005,-4.317649,0.042344,123.989492
803,87.927011,111.050648,1.679286,0.023285,0.234836,0.084585,0.000000,0.108804,0.021427,0.000000,0.026357,0.003275,-0.239363,4.873509,3.537562
804,70.433239,73.568508,1.845916,0.029401,0.160165,0.000000,1.024849,1.024976,0.132238,0.000000,0.999611,0.000010,-2.051311,0.036701,128.551036
805,146.440960,123.783397,0.668203,0.041534,0.266938,26.861277,0.000000,26.899032,24.806925,0.000000,0.999813,0.000007,-5.006787,0.032159,80.427218
806,137.616587,89.833880,1.421569,0.025172,0.195752,52.621441,0.000000,52.731442,50.149782,0.000000,0.999898,0.000003,-2.185140,0.029211,123.191094
807,85.094465,103.905979,1.471220,0.013152,0.228831,0.055782,0.030041,0.173312,0.009581,0.000000,0.031571,0.004222,-0.266682,5.250219,3.618697
808,71.787171,74.326349,0.941921,0.020446,0.141113,0.000000,1.697234,2.597748,0.929035,0.000000,0.234402,0.024703,-1.228030,13.831282,14.460256
809,117.800725,88.816503,1.657905,0.038806,0.127783,36.744776,0.000000,36.780557,32.809217,0.000000,0.999827,0.000004,-3.235342,0.038774,138.028713
810,106.186618,115.822904,1.541948,0.017729,0.223486,1.168294,0.000000,1.649199,0.590636,0.000000,0.118331,0.015514,-0.742676,18.645605,17.928957
811,131.916113,75.976507,0.569898,0.041239,0.218718,59.022631,0.000000,59.080097,57.467474,0.000000,0.999995,0.000000,-3.060769,0.001362,42.292710
812,149.802517,92.798053,1.709885,0.032232,0.104442,65.564882,0.000000,65.675872,61.265055,0.000000,0.999902,0.000002,-2.833963,0.033911,150.132800
813,127.050891,75.017023,0.101907,0.016277,0.112178,52.240704,0.000000,53.683889,52.143292,0.000000,1.000000,0.000000,-1.219057,0.000000,7.632098
814,65.371639,101.339942,0.338214,0.028118,0.268433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000144,0.000054,-0.006637,0.018155,0.003059
815,105.528870,109.944438,0.780138,0.029786,0.214467,2.176770,0.000055,3.213827,1.066567,0.000055,0.224221,0.019378,-2.142049,18.337902,16.951564
816,106.337760,84.657745,1.222713,0.034613,0.188591,19.084766,7.130460,26.239507,23.912830,7.130460,0.999801,0.000006,-2.813107,0.032825,99.189086
817,93.649236,127.802210,0.502871,0.035203,0.281257,0.000000,0.000000,0.002059,0.000000,0.000000,0.005551,0.000985,-0.193107,0.861440,0.246925
818,110.757297,93.076957,1.423553,0.030729,0.191721,22.817004,0.000000,22.858169,20.284544,0.000000,0.999759,0.000006,-2.742216,0.041159,126.777562
819,56.638642,88.495371,1.005905,0.024533,0.290346,0.000000,0.000000,0.000000,0.000000,0.000000,0.002958,0.000610,-0.044052,0.390275,0.155158
820,55.695441,120.497462,0.597238,0.011602,0.173412,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,-0.000033,0.000142,0.000028
821,55.463975,79.445515,0.801789,0.040714,0.245703,0.000000,0.022342,0.022663,0.000000,0.000000,0.006008,0.001482,-0.092326,0.667689,0.248900
822,100.026617,98.646150,0.394198,0.033425,0.157575,0.000000,2.690169,2.816252,2.053373,2.690169,0.999593,0.000019,-3.262569,0.024374,38.358349
823,92.003511,91.034541,0.322246,0.030081,0.174835,0.000000,1.924619,2.111415,1.508599,1.913206,0.999582,0.000027,-2.719412,0.020391,29.038630
824,56.235381,71.995916,1.795224,0.022953,0.269534,0.000000,0.079264,0.083430,0.019213,0.000000,0.024113,0.004592,-0.136719,2.994572,2.211826
825,72.574284,91.526217,1.051650,0.049969,0.108648,0.000000,0.147466,0.195162,0.003598,0.000000,0.040367,0.007712,-0.465110,5.335362,2.891199
826,59.258728,125.004146,0.560272,0.039213,0.190570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000001,-0.000079,0.000315,0.000059
827,148.374625,82.288544,0.472616,0.015265,0.292714,67.221967,0.000000,68.197994,66.666842,0.000000,0.999999,0.000000,-1.247137,0.000186,38.611272
828,117.167780,105.494736,1.913815,0.044615,0.243640,22.152767,0.000000,22.169269,16.879805,0.000000,0.999733,0.000005,-4.324877,0.053305,185.286957
829,149.002617,106.752379,1.108295,0.018440,0.210026,45.342517,0.000000,45.548086,43.808787,0.000000,0.999882,0.000004,-1.932912,0.030998,115.896385
